Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
4000,3592.2850591980114,3891.690155122655,3572.034,3664.688,3837.145282908322,3724.5884767188218
4000,4057.7134406372097,4000.003787878788,4113.7856,3749.62,4017.4559637232824,4037.085214889305
5605,5330.8940707795955,5529.966299263608,5425.587,4916.174,5501.4973871308075,5425.400529402418
500,993.3749471079982,780.9326102260312,920.10345,1313.7842,829.1006549579354,865.7566114624128
3000,2861.906771265437,2827.475331639201,2808.628,2903.3257,2829.514141777942,2839.8186367864814
10000,9554.03612247043,9885.802677574315,10287.519,8887.975,9971.500976368843,9960.279282948322
2500,3097.500304183018,2515.767049617051,3069.137,2949.4995,2766.7252214221935,2917.983232003649
3250,3063.71768888504,3125.013630952381,3313.7646,3076.8823,3046.5274038600346,3128.2332794635367
1900,1844.2503797493064,1906.20608670741,2007.5957,2015.3362,1906.097610356243,1924.9149412468696
1850,2116.7406976855414,2105.8835119047617,2156.3997,2316.922,2139.2482270966334,2156.6768779059457
4000,4084.6337850543505,4020.837247474747,4401.188,3804.7207,3963.1181623646394,4122.102863567197
750,300.68057023278106,1630.8358495670993,1745.4833,1202.5985,1193.0813804668016,1148.6352240548858
750,891.8606816279471,875.8034447102307,661.05334,1260.8796,851.6127486992284,826.5911467072932
1000,956.3264434360799,997.2843916956124,918.1344,1293.7397,966.5131979740463,960.8815606387212
2610,2473.2762729202877,2432.8335819939784,2468.2249,2618.5732,2428.175426456187,2465.848290009953
9350,8609.966384832227,9108.222204184702,8435.343,8000.819,8768.705096782925,8613.598768586127
5275,4909.733432572123,5118.32845040284,5002.896,4642.986,5007.530271643993,4970.91649017285
7505,7046.971771784675,7314.010067883532,7262.781,6445.434,7203.745568813504,7120.191802020909
8100,7529.71184280616,8000.538686787503,7570.0435,6938.9106,7846.084353592334,7693.441220114607
4500,4173.365846059787,4242.557572050113,3653.976,3984.9165,4173.03810943956,4020.338503937879
1500,1440.9863329885807,1478.2207658070463,1497.4307,1640.3062,1461.1447297579825,1479.274898225306
7500,7003.4274755830975,6285.0027826385085,7022.0723,6515.26,6526.611089824897,6824.036003325588
1000,1068.1515333633338,902.8500837531292,942.384,1414.6189,934.9006729321084,981.014400691788
